MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating,link
Mupparimanam,Romance,5.5,Adhiroopan,Aari,35706,2017.0,9.0,8.0,7.5,https://www.imdb.com/find/?q=Mupparimanam
Yaakkai,Romance,5.6,Kuzhandai Velappan,M.S. Bhaskar,48519,2017.0,6.0,7.0,6.2,https://www.imdb.com/find/?q=Yaakkai
Peranbu,Drama,9.0,Ram,Amudhavan Karuppiah,11506,2018.0,8.0,7.0,8.0,https://www.imdb.com/find/?q=Peranbu
Maari 2,Action,5.6,Balaji Mohan,Dhanush,1913,2018.0,7.0,8.0,6.866666667,https://www.imdb.com/find/?q=Maari2
Adanga Maru,Action,7.1,Karthik Thangavel,Jayam Ravi,1696,2018.0,4.0,9.0,6.7,https://www.imdb.com/find/?q=AdangaMaru
Kanaa,Drama,7.8,Arunraja Kamaraj,Aishwarya Rajesh,1225,2018.0,5.0,8.0,6.933333333,https://www.imdb.com/find/?q=Kanaa
Seethakaathi,Drama,7.0,Balaji Tharaneetharan,Vijay Sethupathi,714,2018.0,8.0,9.0,8.0,https://www.imdb.com/find/?q=Seethakaathi
Thuppakki Munai,Action,6.3,Dinesh Selvaraj,Vikram Prabhu,370,2018.0,9.0,8.0,7.766666667,https://www.imdb.com/find/?q=ThuppakkiMunai
Thuppakki Munai,Action,6.3,Dinesh Selvaraj,Vikram Prabhu,370,2018.0,8.0,9.0,7.766666667,https://www.imdb.com/find/?q=ThuppakkiMunai
2,Action,6.3,S. Shankar,Rajinikanth,20076,2018.0,7.0,8.0,7.1,https://www.imdb.com/find/?q=2
Kaatrin Mozhi,Comedy,7.3,Radha Mohan,Jyotika,559,2018.0,8.0,9.0,8.1,https://www.imdb.com/find/?q=KaatrinMozhi
Sarkar,Action,6.8,A.R. Murugadoss,Joseph Vijay,11994,2018.0,9.0,8.0,7.933333333,https://www.imdb.com/find/?q=Sarkar
Pandem Kodi 2,Action,5.2,N. Linguswamy,Vishal,632,2018.0,5.0,9.0,6.4,https://www.imdb.com/find/?q=PandemKodi2
Vada Chennai,Action,8.5,Vetrimaaran,Dhanush,8841,2018.0,8.0,8.0,8.166666667,https://www.imdb.com/find/?q=VadaChennai
Aan Devathai,Action,6.4,Thamira,Ilavarasu,120,2018.0,7.0,9.0,7.466666667,https://www.imdb.com/find/?q=AanDevathai
Raatchasan,Action,8.7,Ram Kumar,Vishnu Vishal,17425,2018.0,8.0,8.0,8.233333333,https://www.imdb.com/find/?q=Raatchasan
Nota,Drama,6.4,Anand Shankar,Vijay Deverakonda,2306,2018.0,9.0,9.0,8.133333333,https://www.imdb.com/find/?q=Nota
96,Drama,8.6,C. Prem Kumar,Vijay Sethupathi,15523,2018.0,8.0,8.0,8.2,https://www.imdb.com/find/?q=96
Pariyerum Perumal,Drama,8.8,Mari Selvaraj,Prabunath,6984,2018.0,7.0,9.0,8.266666667,https://www.imdb.com/find/?q=PariyerumPerumal
Chekka Chivantha Vaanam,Action,7.3,Mani Ratnam,Slavisa Ivanovic,5118,2018.0,8.0,8.0,7.766666667,https://www.imdb.com/find/?q=ChekkaChivanthaVaanam
Raja Ranguski,Mystery,6.6,Dharani Dharan,Shirish,262,2018.0,9.0,7.0,7.533333333,https://www.imdb.com/find/?q=RajaRanguski
Saamy Square,Action,4.5,Hari,Vikram,1090,2018.0,9.0,8.0,7.166666667,https://www.imdb.com/find/?q=SaamySquare
U Turn,Mystery,7.0,Pawan Kumar,Samantha Ruth Prabhu,2292,2018.0,7.0,9.0,7.666666667,https://www.imdb.com/find/?q=UTurn
Seema Raja,Action,4.5,Ponram,Sivakarthikeyan,1405,2018.0,5.0,8.0,5.833333333,https://www.imdb.com/find/?q=SeemaRaja
